"q1_1_social_contacts","q1_2_new_friendships","q1_3_social_screen","q1_4_difficult_friendships","q1_5_less_anxiety","q1_6_express_myself","q1_7_simple_friendy","q2_1_easier_contact_lecturer","q2_2_expressing_myself_lecturer","q2_3_question_silent","q2_4_disappeared_lecturer","q2_5_not_contact_lecturer","q10_1_recorded_refrain_expressing","q10_2_avoid_say_in_zoom","q10_3_safe_to_share","q10_4_exposesd_abuse","q10_5_closed_camera_suspect","q10_6_camera_off_privacy","q10_7_zoom_is_less_safe"
5,5,4,2,1,3,1,4,5,2,1,1,4,3,3,1,3,1,2
5,5,4,5,2,4,4,5,4,4,5,5,5,5,5,5,5,5,5
5,5,3,2,2,5,3,2,3,1,1,1,1,1,2,2,5,1,2
3,4,3,4,3,3,2,5,3,3,4,5,2,3,2,3,3,3,3
4,5,3,3,3,5,3,5,4,3,4,3,3,3,5,3,3,3,3
2,3,3,4,5,4,2,4,5,2,4,4,1,1,5,2,3,4,3
3,5,2,1,5,5,3,3,3,1,1,1,1,5,5,1,2,1,1
1,2,2,2,2,2,2,5,2,2,4,5,4,4,2,4,1,1,1
1,2,1,5,5,2,1,1,4,2,4,4,3,2,1,4,1,2,1
1,1,1,1,2,2,1,4,4,4,2,5,2,2,1,1,1,4,3
1,1,1,1,1,1,1,2,1,5,5,5,5,5,1,5,3,1,3
1,2,1,5,1,3,1,5,1,5,1,1,1,1,4,1,1,3,1
5,5,3,1,1,5,3,3,3,1,1,1,1,1,4,1,1,1,1
3,3,1,3,2,3,2,5,2,3,5,5,3,3,2,5,3,3,3
3,3,3,4,4,3,4,4,3,4,5,4,4,4,3,4,3,5,3
5,4,3,4,2,4,4,4,4,3,3,3,5,3,5,3,3,5,5
4,4,3,3,3,5,3,3,3,2,2,1,1,1,5,1,1,1,1
3,4,2,4,1,4,2,2,4,4,4,4,4,4,2,5,2,5,2
3,4,3,2,4,3,3,5,2,5,4,4,5,5,1,1,1,3,1
1,1,1,5,3,3,1,5,5,4,5,5,3,2,3,3,1,4,3
1,1,1,5,3,1,1,5,1,5,5,5,4,3,1,3,3,4,3
5,5,4,2,1,4,4,4,3,3,3,3,3,3,4,1,4,1,1
3,4,2,4,3,4,2,2,2,2,2,2,2,2,4,3,3,3,3
2,3,1,5,2,1,1,5,1,3,4,5,1,2,2,4,3,2,4
4,5,5,3,5,3,3,4,5,4,4,3,4,3,3,3,2,3,5
5,5,3,3,3,3,3,4,3,4,3,4,3,3,3,3,3,2,2
4,4,2,5,3,3,3,5,3,3,3,3,1,1,4,3,4,1,2
5,5,5,2,2,5,5,2,5,2,2,2,2,2,5,2,2,2,3
2,2,2,4,2,4,2,4,2,3,4,2,4,4,4,4,4,4,2
2,3,1,4,3,2,1,5,2,4,4,5,4,5,1,3,2,4,1
4,4,5,3,5,5,5,3,5,3,2,1,2,1,5,1,1,2,1
5,5,5,2,4,5,3,3,5,3,3,3,2,3,3,4,2,3,2
5,5,3,3,4,4,4,3,5,1,1,1,3,2,4,2,2,2,4
3,5,3,2,5,5,4,2,5,3,1,1,1,2,1,1,1,1,1
5,5,5,3,4,5,5,4,5,2,2,4,2,2,5,4,5,2,4
4,5,5,1,5,3,5,1,4,3,3,1,4,5,5,3,1,3,5
4,3,3,1,1,4,4,3,4,1,1,1,1,1,5,1,1,1,1
5,5,5,5,5,5,5,3,1,3,1,1,1,4,3,3,5,1,1
1,1,1,5,3,2,2,5,1,5,4,5,5,4,1,1,1,5,5
5,5,1,3,3,1,3,5,3,5,3,5,5,5,5,5,5,5,5
2,4,2,5,4,2,2,5,2,3,4,4,2,3,1,1,4,1,5
2,3,3,3,3,4,2,2,5,1,2,1,2,2,3,1,1,3,2
3,4,1,3,1,4,1,4,3,3,3,4,2,3,2,1,2,1,1
4,4,4,5,5,5,4,3,5,1,1,1,4,4,1,5,3,1,1
5,5,4,3,5,5,4,4,5,3,1,1,3,3,3,2,2,2,5
4,4,3,2,3,4,3,2,2,4,2,2,3,3,2,2,2,1,2
5,5,4,3,2,5,4,4,4,1,1,1,3,1,2,1,2,1,2
1,1,1,5,1,1,1,3,1,4,2,1,1,1,5,1,1,1,1
4,3,2,4,3,4,2,5,2,1,2,2,1,1,4,1,1,3,4
5,5,4,4,5,5,5,3,5,1,1,1,1,1,5,1,1,1,1
5,5,4,2,4,5,3,3,3,2,1,1,1,1,4,3,1,3,1
4,5,5,1,5,5,4,5,2,1,4,4,1,1,4,1,1,4,1
2,1,1,5,3,2,1,5,1,3,3,4,5,2,1,3,3,4,3
5,4,5,1,4,5,2,4,5,1,2,1,1,1,5,1,1,3,1
4,4,3,4,3,2,2,3,2,4,2,3,2,4,2,1,1,1,1
3,3,3,3,5,5,3,4,4,4,3,3,4,4,4,3,3,4,3
2,2,3,2,4,5,2,4,2,2,4,4,2,2,4,4,2,2,4
5,5,3,3,3,3,3,5,3,1,1,1,3,3,1,3,1,3,3
5,5,4,4,4,5,4,4,5,2,2,2,1,1,3,2,1,1,1
5,5,5,3,5,5,5,4,5,4,4,4,4,4,5,3,3,3,3
5,4,3,4,2,1,1,3,3,4,3,4,5,5,2,5,5,5,3
5,5,4,2,5,5,4,3,5,3,3,3,3,2,4,2,3,3,3
5,5,2,2,3,2,1,5,2,4,4,4,5,4,2,4,1,1,1
3,2,1,3,1,1,1,5,2,5,5,4,3,5,2,4,1,5,5
1,1,1,5,3,1,1,5,1,5,5,5,1,5,1,2,1,1,4
5,5,5,1,4,4,4,1,5,1,1,1,1,1,5,1,3,4,1
5,5,5,2,2,5,3,5,5,2,2,2,1,1,5,1,1,2,1
1,3,2,3,2,5,1,4,3,2,1,1,3,3,4,5,1,4,5
4,2,4,1,4,4,4,4,4,3,2,1,2,3,4,2,1,1,4
5,5,4,2,5,5,3,2,4,1,2,3,3,1,4,2,1,1,3
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3
2,2,2,5,5,3,3,5,3,5,1,2,3,3,3,3,2,5,1
3,2,1,5,2,1,1,5,1,3,2,2,3,3,4,5,1,2,5
5,5,3,5,5,2,1,3,5,3,2,3,1,1,3,3,1,3,1
4,4,2,3,4,3,1,2,3,2,2,4,4,4,1,3,1,5,2
5,5,4,2,4,5,3,3,4,3,2,4,2,2,5,3,3,3,2
3,4,2,4,3,5,3,5,5,1,1,4,4,3,4,5,1,1,1
5,4,2,2,3,5,3,5,2,1,1,1,1,1,5,1,1,1,1
5,5,4,4,5,5,5,5,4,4,4,4,5,4,4,3,2,3,3
4,5,3,3,5,4,5,4,5,4,4,3,1,3,5,1,1,3,5
5,4,4,4,4,3,4,5,4,4,4,3,3,3,3,3,2,3,4
4,4,3,4,3,3,3,5,3,4,3,3,3,4,4,3,3,3,3
4,3,1,4,5,4,1,5,3,4,2,2,3,3,3,1,1,1,1
1,3,2,4,2,2,2,5,2,2,4,4,2,2,2,2,2,3,2
3,3,2,3,3,2,2,5,2,1,1,1,1,1,3,3,3,2,1
5,5,1,1,2,4,4,2,5,1,1,1,1,1,1,1,1,1,1
1,2,2,5,3,4,1,5,2,4,4,5,1,2,1,5,2,1,1
5,5,4,5,5,5,4,2,5,1,2,2,1,1,3,3,2,2,1
5,5,1,1,1,5,1,3,3,1,1,1,1,1,5,1,1,3,1
5,5,3,1,1,5,5,1,5,2,2,2,3,2,5,2,2,2,2
5,5,4,3,4,4,3,3,5,3,2,2,2,3,5,3,3,2,2
5,5,5,5,5,5,5,5,5,4,4,5,3,3,3,5,3,1,5
5,5,3,1,5,4,3,3,3,3,3,3,3,1,4,1,3,1,1
5,5,5,2,5,5,5,3,5,2,3,4,4,3,4,3,3,4,3
5,5,5,3,5,5,3,3,5,1,1,1,3,3,3,3,1,1,1
5,4,4,2,5,4,4,3,5,4,3,4,1,1,5,1,1,1,1
5,5,5,2,5,5,5,5,5,1,1,1,1,1,5,1,1,1,1
3,2,1,2,3,5,3,3,1,1,1,1,1,3,3,1,1,3,1
4,4,3,4,2,3,2,5,2,4,4,5,4,5,3,2,3,2,2
5,5,4,4,4,5,5,4,4,2,1,2,1,1,3,1,1,1,1
5,4,3,3,3,4,3,5,4,5,5,5,5,5,3,3,4,4,3
3,4,2,5,1,1,1,5,3,5,5,5,4,3,1,5,1,5,5
4,3,1,3,1,4,1,5,3,3,4,4,3,4,1,3,1,3,3
5,5,3,1,3,5,3,1,3,1,1,1,1,1,5,1,1,1,1
4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,3,4,5
2,4,2,4,4,3,2,4,3,4,4,4,2,3,3,3,3,4,3
5,5,4,4,5,5,4,5,3,1,1,1,1,1,5,3,1,1,3
4,4,4,4,4,4,4,3,3,5,4,5,3,3,5,3,3,3,5
4,4,4,3,3,3,3,4,5,4,3,3,4,2,5,4,1,5,4
4,4,3,3,3,4,3,5,3,3,4,4,3,4,3,3,2,2,3
4,4,1,4,1,5,2,5,3,1,3,5,1,1,4,3,1,1,1
3,4,3,3,4,1,1,4,1,1,1,3,2,2,1,1,1,3,1
5,5,4,5,4,3,3,5,4,4,4,5,4,3,4,4,2,3,2
4,4,5,4,4,5,4,2,5,2,4,3,2,2,5,2,2,5,2
3,5,3,1,3,5,3,3,3,2,2,2,1,1,5,2,2,3,2
4,4,3,3,2,4,4,4,3,2,4,3,2,2,3,1,1,4,1
1,1,3,5,5,4,3,5,5,5,5,5,3,3,4,1,2,4,4
5,5,5,4,4,5,5,3,5,2,2,4,3,3,4,2,3,2,3
4,5,3,2,3,5,3,3,5,1,1,1,1,1,5,1,1,1,1
5,5,5,2,5,5,5,2,5,2,2,2,2,4,5,2,2,5,2
2,3,2,4,3,3,3,3,3,4,3,3,1,2,2,3,1,4,2
1,1,1,2,3,3,1,4,2,3,4,4,2,2,3,3,1,4,4
1,2,1,5,3,4,5,5,3,4,3,2,1,1,2,3,1,1,3
1,1,1,1,2,2,1,5,2,4,4,4,2,5,1,4,1,1,2
4,4,4,3,3,4,3,2,5,2,2,2,2,2,5,2,2,3,2
1,2,1,5,3,4,1,5,4,2,1,2,1,1,4,3,1,1,1
3,2,2,2,3,5,2,4,3,1,1,1,1,1,4,2,2,2,2
4,4,3,2,3,5,2,4,3,1,2,2,2,2,5,1,1,4,1
4,4,2,4,4,4,2,4,3,3,1,2,2,2,1,3,1,4,1
1,1,1,4,3,4,1,5,3,2,4,4,2,3,1,2,1,5,3
2,2,4,4,4,2,2,5,2,5,3,4,3,3,3,3,3,4,3
4,1,3,3,3,4,1,4,4,1,4,4,1,1,4,1,1,4,4
1,1,2,4,1,5,2,1,3,1,5,4,2,1,2,3,1,5,4
2,2,2,5,5,2,2,5,2,5,5,5,2,5,2,2,2,4,5
4,2,2,1,2,3,2,4,2,3,4,3,4,4,2,3,3,3,3
2,2,2,4,2,2,2,4,2,3,4,4,2,2,2,3,4,4,4
3,3,2,4,4,3,2,4,3,4,3,4,3,3,2,3,2,3,3
